PFAM	UniProt	BRACP
PF00562	4.14285714285714	2
PF00564	9.5	4
PF00565	5.21428571428571	6
PF00566	24.6428571428571	25
PF00567	16.1428571428571	38
PF00568	3.78571428571429	6
PF00569	9.5	13
PF00570	2.5	1
PF00571	24.9285714285714	9
PF00572	2.57142857142857	2
PF00573	2.5	2
PF00574	2.07142857142857	1
PF00575	8.42857142857143	5
PF00576	0.857142857142857	1
PF00578	5.28571428571429	7
PF00579	5.35714285714286	6
PF00581	14.8571428571429	24
PF00583	19.5714285714286	15
PF00584	1.5	1
PF00586	1.78571428571429	1
PF00587	6.5	7
PF00588	2.64285714285714	2
PF00590	1.5	1
PF00591	0.642857142857143	1
PF00595	59	80
PF00596	2.57142857142857	3
PF00609	4.21428571428571	6
PF00610	7.14285714285714	5
PF00611	6.28571428571429	8
PF00612	47.9285714285714	37
PF00613	4.14285714285714	7
PF00614	5.5	5
PF00615	11.2142857142857	15
PF00616	6.28571428571429	6
PF00617	10.5714285714286	12
PF00618	7.21428571428571	7
PF00620	25.6428571428571	20
PF00621	24.8571428571429	23
PF00622	17.8571428571429	12
PF00623	3.85714285714286	3
PF00625	8.35714285714286	9
PF00626	18.9285714285714	17
PF00627	14.2857142857143	9
PF00628	28.7857142857143	17
PF00629	21.5714285714286	105
PF00630	39.4285714285714	36
PF00631	3.35714285714286	5
PF00632	12.8571428571429	13
PF00633	1.42857142857143	1
PF00635	10.5714285714286	3
PF00636	5.14285714285714	5
PF00637	11.2857142857143	9
PF00638	6.21428571428571	5
PF00639	1.07142857142857	1
PF00640	8	8
PF00641	11.5714285714286	11
PF00642	27.8571428571429	11
PF00643	41.4285714285714	5
PF00644	8.5	10
PF00645	2.28571428571429	5
PF00646	92.3571428571429	8
PF00647	1.35714285714286	2
PF00648	8	33
PF00650	12.2857142857143	3
PF00651	87.5714285714286	43
PF00652	9.28571428571429	7
PF00653	6.71428571428571	4
PF00654	5.64285714285714	4
PF00656	10.5714285714286	6
PF00657	17.4285714285714	6
PF00658	2.92857142857143	2
PF00659	3.5	2
PF00664	44.1428571428571	48
PF00665	4.57142857142857	8
PF00667	4.07142857142857	6
PF00668	2.07142857142857	4
PF00670	1.85714285714286	5
PF00673	1.78571428571429	1
PF00675	7.57142857142857	5
PF00676	4.71428571428571	5
PF00679	6.78571428571429	6
PF00682	2.78571428571429	2
PF00684	4.21428571428571	3
PF00685	19.6428571428571	8
PF00687	3.78571428571429	3
PF00689	10.0714285714286	16
PF00690	12.5	14
PF00692	1.5	1
PF00694	3	2
PF00696	3.5	1
PF00698	7.35714285714286	2
PF00699	0.642857142857143	1
PF00702	15.0714285714286	13
PF00703	1.57142857142857	1
PF00704	14.5714285714286	37
PF00705	1.14285714285714	2
PF00708	1.5	1
PF00709	1.21428571428571	1
PF00710	1.21428571428571	2
PF00717	3.21428571428571	3
PF00719	2.14285714285714	3
PF00722	9.71428571428571	2
PF00723	1.92857142857143	3
PF00725	4.14285714285714	2
